[2026-04-08T13:01:02.023Z] Model trained and initialized.
[2026-04-08T13:01:13.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.6150006374178965
[2026-04-08T13:01:14.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:15.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:16.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:17.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:18.034Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:19.035Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:20.035Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:21.036Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:22.037Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:23.038Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:24.038Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:25.039Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:26.040Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:27.041Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:28.042Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:29.043Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:30.044Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:01:31.045Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:15.080Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.5477743048807268
[2026-04-08T13:02:16.083Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:17.082Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:18.083Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:19.084Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:20.084Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:21.085Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:22.086Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:23.087Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:24.088Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:25.089Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:26.090Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:27.091Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:28.092Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:29.092Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
[2026-04-08T13:02:30.093Z] ALERT: Quench detected in Magnet Circuit B12 | Score: 0.641099847205672
